GEOID,NAME,POPULATION
32031,"Washoe County, Nevada",493392
33005,"Cheshire County, New Hampshire",77329
33009,"Grafton County, New Hampshire",92201
33011,"Hillsborough County, New Hampshire",424079
33013,"Merrimack County, New Hampshire",155238
33015,"Rockingham County, New Hampshire",316947
33017,"Strafford County, New Hampshire",132416
34001,"Atlantic County, New Jersey",274966
34003,"Bergen County, New Jersey",953819
34005,"Burlington County, New Jersey",464269
34007,"Camden County, New Jersey",523771
34009,"Cape May County, New Jersey",95661
34011,"Cumberland County, New Jersey",153627
34013,"Essex County, New Jersey",854917
34015,"Gloucester County, New Jersey",304477
34017,"Hudson County, New Jersey",702463
34019,"Hunterdon County, New Jersey",129924
34021,"Mercer County, New Jersey",385898
34023,"Middlesex County, New Jersey",860807
34025,"Monmouth County, New Jersey",645354
34027,"Morris County, New Jersey",510981
34029,"Ocean County, New Jersey",648998
34031,"Passaic County, New Jersey",518117
34033,"Salem County, New Jersey",65046
34035,"Somerset County, New Jersey",345647
34037,"Sussex County, New Jersey",145543
34039,"Union County, New Jersey",572114
34041,"Warren County, New Jersey",110731
35001,"Bernalillo County, New Mexico",674393
35013,"Doña Ana County, New Mexico",221508
35025,"Lea County, New Mexico",73004
35031,"McKinley County, New Mexico",71780
35035,"Otero County, New Mexico",68537
35043,"Sandoval County, New Mexico",151369
35045,"San Juan County, New Mexico",120993
35049,"Santa Fe County, New Mexico",155201
35061,"Valencia County, New Mexico",77190
36001,"Albany County, New York",313743
36005,"Bronx County, New York",1424948
36007,"Broome County, New York",197240
36009,"Cattaraugus County, New York",76426
36011,"Cayuga County, New York",75880
36013,"Chautauqua County, New York",126807
36015,"Chemung County, New York",83045
36019,"Clinton County, New York",79596
36027,"Dutchess County, New York",297112
36029,"Erie County, New York",950683
36045,"Jefferson County, New York",116295
36047,"Kings County, New York",2641052
36053,"Madison County, New York",67658
36055,"Monroe County, New York",755160
36059,"Nassau County, New York",1390907
36061,"New York County, New York",1576876
36063,"Niagara County, New York",211653
36065,"Oneida County, New York",230274
36067,"Onondaga County, New York",473236
36069,"Ontario County, New York",112508
36071,"Orange County, New York",404525
36075,"Oswego County, New York",117387
36079,"Putnam County, New York",97936
36081,"Queens County, New York",2331143
36083,"Rensselaer County, New York",160232
36085,"Richmond County, New York",493494
36087,"Rockland County, New York",339227
36089,"St. Lawrence County, New York",108051
36091,"Saratoga County, New York",237359
36093,"Schenectady County, New York",158089
36101,"Steuben County, New York",92948
36103,"Suffolk County, New York",1526344
36105,"Sullivan County, New York",79806
36109,"Tompkins County, New York",105162
36111,"Ulster County, New York",182951
36113,"Warren County, New York",65618
36117,"Wayne County, New York",90923
36119,"Westchester County, New York",997895
37001,"Alamance County, North Carolina",173877
37019,"Brunswick County, North Carolina",144215
37021,"Buncombe County, North Carolina",271534
37023,"Burke County, North Carolina",87611
37025,"Cabarrus County, North Carolina",231278
37027,"Caldwell County, North Carolina",80463
37031,"Carteret County, North Carolina",68541
37035,"Catawba County, North Carolina",161723
37037,"Chatham County, North Carolina",77889
37045,"Cleveland County, North Carolina",100359
37049,"Craven County, North Carolina",100674
37051,"Cumberland County, North Carolina",335508
37057,"Davidson County, North Carolina",170637
37063,"Durham County, North Carolina",326126
37067,"Forsyth County, North Carolina",385523
37069,"Franklin County, North Carolina",71703
